Date,Site ID,Daily Max 8-hour CO Concentration,Units,Daily AQI Value,Daily Obs Count,AQS Parameter Description,County FIPS Code,County,Site Latitude,Site Longitude
03/02/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
03/03/2023,490352005,0.3,ppm,3,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
03/04/2023,490352005,0.4,ppm,5,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
03/05/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
03/06/2023,490352005,0.3,ppm,3,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
03/07/2023,490352005,0.3,ppm,3,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
03/08/2023,490352005,0.4,ppm,5,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
03/09/2023,490352005,0.3,ppm,3,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
03/10/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
03/11/2023,490352005,0.4,ppm,5,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
03/12/2023,490352005,0.3,ppm,3,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
03/13/2023,490352005,0.4,ppm,5,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
03/14/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
03/15/2023,490352005,0.1,ppm,1,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
03/16/2023,490352005,0.3,ppm,3,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
03/17/2023,490352005,0.6,ppm,7,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
03/18/2023,490352005,0.5,ppm,6,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
03/19/2023,490352005,0.4,ppm,5,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
03/20/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
03/21/2023,490352005,0.5,ppm,6,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
03/22/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
03/23/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
03/24/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
03/25/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
03/26/2023,490352005,0.3,ppm,3,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
03/27/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
03/28/2023,490352005,0.3,ppm,3,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
03/29/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
03/30/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
03/31/2023,490352005,0.3,ppm,3,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
04/01/2023,490352005,0.3,ppm,3,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
04/02/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
04/03/2023,490352005,0.3,ppm,3,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
04/04/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
04/05/2023,490352005,0.4,ppm,5,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
04/06/2023,490352005,0.4,ppm,5,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
04/07/2023,490352005,0.5,ppm,6,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
04/08/2023,490352005,0.3,ppm,3,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
04/09/2023,490352005,0.4,ppm,5,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
04/10/2023,490352005,0.4,ppm,5,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
04/11/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
04/12/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
04/13/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
04/14/2023,490352005,0.4,ppm,5,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
04/15/2023,490352005,0.4,ppm,5,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
04/16/2023,490352005,0.3,ppm,3,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
04/17/2023,490352005,0.2,ppm,2,24,Carbon monoxide,35,Salt Lake,40.598056,-111.894167
